1.59,1.68,1.8,2.04,2.43,2.85,3.37,3.7,3.92,4.06,4.12,4.15
1.51,1.58,1.7,1.94,2.36,2.89,3.39,3.78,4.01,4.12,4.17,4.17
1.4,1.4,1.44,1.68,2.27,2.85,3.5,4,4.15,4.23,4.23,4.23
1.28,1.21,1.07,1.05,1.76,2.7,3.77,4.31,4.55,4.4,4.33,4.29
1.19,1.01,0.55,0.58,1.53,2.79,4.15,4.79,4.39,4,3.99,3.83
1.24,1.13,0.97,0.73,1.34,2.38,3.45,4.45,4.74,4.51,4.4,4.34
1.33,1.3,1.3,1.44,1.94,2.69,3.42,3.66,3.86,3.9,3.94,4.34
1.41,1.34,1.32,1.72,2.14,2.65,3.22,3.74,3.89,3.73,4.22,4.29
1.46,1.53,1.05,1.88,2.23,2.72,3.2,3.62,3.9,4.07,4.16,4.22
1.49,1.56,1.7,1.95,2.27,2.78,3.24,3.64,3.92,4.07,4.18,4.22
